Entity,Code,Year,Share of one person households (%)
Tanzania,TZA,2012,8.428410158
Tanzania,TZA,2015,9.632193152
Thailand,THA,1970,3.120396266
Thailand,THA,1980,3.841155891
Thailand,THA,1990,5.00171926
Thailand,THA,2000,8.698742956
Togo,TGO,1998,12.47817234
Togo,TGO,2014,15.65110089
Trinidad and Tobago,TTO,1970,14.36735875
Trinidad and Tobago,TTO,1980,14.02436454
Trinidad and Tobago,TTO,1990,13.72277155
Trinidad and Tobago,TTO,2000,15.18771331
Trinidad and Tobago,TTO,2011,19.21009515
Turkey,TUR,2006,6.1
Turkey,TUR,2007,6.5
Turkey,TUR,2008,6.9
Turkey,TUR,2009,7.7
Turkey,TUR,2011,7.9
Turkey,TUR,2012,8.6
Turkey,TUR,2014,13.8
Turkey,TUR,2015,14.3
Turkey,TUR,2016,14.8
Turkey,TUR,2017,15.3
Uganda,UGA,1995,10.62894836
Uganda,UGA,2000,11.0589633
Uganda,UGA,2006,10.84267703
Uganda,UGA,2009,11.31977307
Uganda,UGA,2011,11.47346109
Uganda,UGA,2014,11.51306933
Uganda,UGA,2016,13.68012832
United Kingdom,GBR,2005,32
United Kingdom,GBR,2006,31.2
United Kingdom,GBR,2007,31.1
United Kingdom,GBR,2008,31.1
United Kingdom,GBR,2009,30.9
United Kingdom,GBR,2010,30.9
United Kingdom,GBR,2011,31.3
United Kingdom,GBR,2012,29
United Kingdom,GBR,2013,28.5
United Kingdom,GBR,2014,28.7
United Kingdom,GBR,2015,28.7
United Kingdom,GBR,2016,29.7
United Kingdom,GBR,2017,29.9
United States,USA,1960,13.10062695
United States,USA,1961,13.27931023
United States,USA,1962,13.64582539
United States,USA,1963,13.571558
United States,USA,1964,13.92901039
United States,USA,1965,15.02716064
United States,USA,1966,15.56860638
United States,USA,1967,15.5310955
United States,USA,1968,16.11826324
United States,USA,1969,16.7181015
United States,USA,1970,17.11487198
United States,USA,1971,17.66957855
United States,USA,1972,18.28094101
United States,USA,1973,18.51254845
United States,USA,1974,19.13568687
United States,USA,1975,19.59926796
United States,USA,1976,20.56212044
United States,USA,1977,20.94898987
United States,USA,1978,21.98474312
United States,USA,1979,22.24363136
United States,USA,1980,22.65029144
United States,USA,1981,22.98950958
United States,USA,1982,23.17094994
United States,USA,1983,22.93906021
United States,USA,1984,23.3634243
United States,USA,1985,23.73803139
United States,USA,1986,23.94130516
United States,USA,1987,23.61224365
United States,USA,1988,24.03641319
United States,USA,1989,24.46191978
United States,USA,1990,24.63817787
United States,USA,1991,25.01272392
United States,USA,1992,25.05931854
United States,USA,1993,24.43116951
United States,USA,1994,24.31441689
United States,USA,1995,24.98434258
United States,USA,1996,24.9932251
United States,USA,1997,25.14601326
United States,USA,1998,25.67786407
United States,USA,1999,25.61372375
United States,USA,2000,25.52313614
United States,USA,2001,26.06714821
United States,USA,2002,26.3273468
United States,USA,2003,26.44817543
United States,USA,2004,26.41607094
United States,USA,2005,26.58920288
United States,USA,2006,26.62347794
United States,USA,2007,26.83538628
United States,USA,2008,27.54424858
United States,USA,2009,27.01547241
United States,USA,2010,26.71391296
United States,USA,2011,27.53341675
United States,USA,2012,27.40907097
United States,USA,2013,27.4132576
United States,USA,2014,27.74103546
United States,USA,2015,27.98526382
United States,USA,2016,28.12611771
United States,USA,2017,27.92812729
United States,USA,2018,28.01247787
Uruguay,URY,1963,11.21698478
Uruguay,URY,1975,14.39234955
Uruguay,URY,1985,14.97694251
Uruguay,URY,1996,16.93861374
Uruguay,URY,2006,19.77890368
Uruguay,URY,2011,23.52356194
Uzbekistan,UZB,1996,5.262791517
Venezuela,VEN,1971,8.232542165
Venezuela,VEN,1981,6.813819578
Venezuela,VEN,1990,6.816226754
Venezuela,VEN,2001,7.562009966
Vietnam,VNM,1989,4.986699995
Vietnam,VNM,1999,4.356472697
Vietnam,VNM,2009,7.281823706
West Germany,OWID_GFR,1950,19.39
West Germany,OWID_GFR,1956,19.17
West Germany,OWID_GFR,1957,18.3
West Germany,OWID_GFR,1961,20.61
West Germany,OWID_GFR,1962,22.35
West Germany,OWID_GFR,1963,22.65
West Germany,OWID_GFR,1964,23.25
West Germany,OWID_GFR,1965,24.25
West Germany,OWID_GFR,1966,23.89
West Germany,OWID_GFR,1967,24.97
West Germany,OWID_GFR,1968,25.15
West Germany,OWID_GFR,1969,25.82
West Germany,OWID_GFR,1970,25.13
West Germany,OWID_GFR,1971,26.72
West Germany,OWID_GFR,1972,26.15
West Germany,OWID_GFR,1973,26.13
West Germany,OWID_GFR,1974,27.19
West Germany,OWID_GFR,1975,27.63
West Germany,OWID_GFR,1976,28.68
West Germany,OWID_GFR,1977,29.22
West Germany,OWID_GFR,1978,29.28
West Germany,OWID_GFR,1979,30.03
West Germany,OWID_GFR,1980,30.2
West Germany,OWID_GFR,1981,30.8
West Germany,OWID_GFR,1982,31.28
West Germany,OWID_GFR,1985,33.61
West Germany,OWID_GFR,1986,34.32
West Germany,OWID_GFR,1987,34.64
West Germany,OWID_GFR,1988,34.9
West Germany,OWID_GFR,1989,35.28
West Germany,OWID_GFR,1990,34.96
Yemen,YEM,1991,3.162343185
Yemen,YEM,2013,1.866618848
Zambia,ZMB,1992,6.59172065
Zambia,ZMB,1996,6.058426918
Zambia,ZMB,2002,6.345220534
Zambia,ZMB,2007,7.729479128
Zambia,ZMB,2013,7.17199096
Zimbabwe,ZWE,1994,13.49857286
Zimbabwe,ZWE,1999,15.56173872
Zimbabwe,ZWE,2005,10.15553456
Zimbabwe,ZWE,2010,11.66068559
Zimbabwe,ZWE,2015,12.37347575
